0.000000 0.286445 0.286445 0.286445 0.020398 
 0.000083 0.286445 0.286445 0.286445 0.020398 
 0.000167 0.317557 0.317557 0.317557 0.010509 
 0.000250 0.300503 0.300503 0.300503 0.049765 
 0.000333 0.277651 0.277651 0.277651 0.133224 
 0.000417 0.301355 0.301355 0.301355 0.248339 
 0.000500 0.305130 0.305130 0.305130 0.378292 
 0.000583 0.320264 0.320264 0.320264 0.513037 
 0.000667 0.328422 0.328422 0.328422 0.666638 
 0.000750 0.333975 0.333975 0.333975 0.808743 
 0.000833 0.359305 0.359305 0.359305 0.948840 
 0.000917 0.344831 0.344831 0.344831 1.105718 
 0.001000 0.339558 0.339558 0.339558 1.255405 
 0.001083 0.332148 0.332148 0.332148 1.380400 
 0.001167 0.363145 0.363145 0.363145 1.531518 
 0.001250 0.368698 0.368698 0.368698 1.673623 
 0.001333 0.374251 0.374251 0.374251 1.815729 
 0.001417 0.367099 0.367099 0.367099 1.940739 
 0.001500 0.414797 0.414797 0.414797 2.065272 
 0.001583 0.428911 0.428911 0.428911 2.187726 
 0.001667 0.425298 0.425298 0.425298 2.312104 
 0.001750 0.418403 0.418403 0.418403 2.437129 
 0.001833 0.463050 0.463050 0.463050 2.537182 
 0.001917 0.454756 0.454756 0.454756 2.649965 
 0.002000 0.451384 0.451384 0.451384 2.761949 
 0.002083 0.464478 0.464478 0.464478 2.872112 
 0.002167 0.495048 0.495048 0.495048 2.986064 
 0.002250 0.506890 0.506890 0.506890 3.083963 
 0.002333 0.494900 0.494900 0.494900 3.203357 
 0.002417 0.485739 0.485739 0.485739 3.303950 
 0.002500 0.515521 0.515521 0.515521 3.393157 
 0.002583 0.527766 0.527766 0.527766 3.491006 
 0.002667 0.557211 0.557211 0.557211 3.580216 
 0.002750 0.535577 0.535577 0.535577 3.663911 
 0.002833 0.560919 0.560919 0.560919 3.747373 
 0.002917 0.581914 0.581914 0.581914 3.825369 
 0.003000 0.572393 0.572393 0.572393 3.919895 
 0.003083 0.593591 0.593591 0.593591 3.997837 
 0.003167 0.623193 0.623193 0.623193 4.074502 
 0.003250 0.677091 0.677091 0.677091 4.154024 
 0.003333 0.674150 0.674150 0.674150 4.222598 
 0.003417 0.673029 0.673029 0.673029 4.291277 
 0.003500 0.696146 0.696146 0.696146 4.350008 
 0.003583 0.726048 0.726048 0.726048 4.407853 
 0.003667 0.773966 0.773966 0.773966 4.468668 
 0.003750 0.762036 0.762036 0.762036 4.532905 
 0.003833 0.789453 0.789453 0.789453 4.578245 
 0.003917 0.798884 0.798884 0.798884 4.639152 
 0.004000 0.826960 0.826960 0.826960 4.684299 
 0.004083 0.823216 0.823216 0.823216 4.728641 
 0.004167 0.870904 0.870904 0.870904 4.776587 
 0.004250 0.878952 0.878952 0.878952 4.825232 
 0.004333 0.908003 0.908003 0.908003 4.863634 
 0.004417 0.906914 0.906914 0.906914 4.920168 
 0.004500 0.942712 0.942712 0.942712 4.951081 
 0.004583 0.949210 0.949210 0.949210 4.987485 
